"SERIALNUMBER","CUSTOMERID","MODELTYPE","PAINTID","FRAMESIZE","ORDERDATE","STARTDATE","SHIPDATE","SHIPEMPLOYEE","FRAMEASSEMBLER","PAINTER","CONSTRUCTION","WATERBOTTLEBRAZEONS","CUSTOMNAME","LETTERSTYLEID","STOREID","EMPLOYEEID","TOPTUBE","CHAINSTAY","HEADTUBEANGLE","SEATTUBEANGLE","LISTPRICE","SALEPRICE","SALESTAX","SALESTATE","SHIPPRICE","FRAMEPRICE","COMPONENTLIST"
221,181,"Hybrid",10,23,06-NOV-94,08-NOV-94,11-NOV-94,51512,89097,87295,"TIG Welded",4,"Buck Cole","Roman",2068,37453,58,43,71.5,73,1295.34,1250,62.5,"ID",70,386.28,1020
222,429,"Tour",4,60,28-MAY-94,30-MAY-94,03-JUN-94,87295,15293,29387,"TIG Welded",4,"Gayle Livingston","Script",4470,0,57.5,41.5,74,73,1558.26,1558.26,97.39,"TX",50,465.6,1250
223,435,"Race",5,58,24-JUL-94,25-JUL-94,31-JUL-94,89097,76432,12512,"TIG Welded",4,"Brian Howard","Script",1281,29387,57,41.2,73.7,73,1441.19,1400,84,"KY",70,327.865,1250
224,97,"Race",9,62,07-SEP-94,09-SEP-94,11-SEP-94,51512,89097,29387,"Bonded",4,"Harold Price","English",2392,63535,59,41.2,74,72.5,2539.3,2500,150,"KY",70,495.76,2374
225,218,"Mountain",10,17,12-APR-94,13-APR-94,20-APR-94,89097,29387,12512,"TIG Welded",4,"Sarah England","Script",1629,88873,58.5,42.3,70.6,73,1784.97,1750,87.5,"MI",70,962.32,1020
226,396,"Race",11,50,29-JUN-94,01-JUL-94,03-JUL-94,29387,15293,93736,"Welded",4,"Patricia Davidson","Block",1933,46583,53.1,40.7,72,75,2554.21,2525,151.5,"KY",70,262.3,2625
227,167,"Road",1,52,12-AUG-94,15-AUG-94,18-AUG-94,51512,76432,89097,"TIG Welded",4,"John Cole","English",1125,34192,53,41.5,73,73.5,1501.39,1500,75,"ND",70,398.7,1250
228,150,"Road",12,54,27-JUL-94,28-JUL-94,01-AUG-94,51512,29387,15293,"Bonded",4,"Sharon Hicks","English",5438,88873,55,41.5,73.5,73.5,2889.42,2875,115,"GA",70,752.675,2529
229,332,"Mountain",3,21,06-JUN-94,08-JUN-94,13-JUN-94,15293,15293,93736,"TIG Welded",4,"Nancy Baez","English",1258,73735,59.8,42.4,71,73,1652.32,1625,97.5,"TN",70,292.261,1534
230,141,"Race",2,58,25-NOV-94,28-NOV-94,30-NOV-94,87295,37453,51512,"Bonded",4,"Geneva Russell","Roman",5759,93736,57,41.2,73.7,73,1991.27,1975,118.5,"NC",70,784.025,1441
231,229,"Hybrid",11,21,01-NOV-94,01-NOV-94,04-NOV-94,87295,15293,51512,"TIG Welded",4,"Lana Renfrow","Flash",4347,51512,57,43,71.5,73,1263.85,1225,73.5,"TN",70,349.235,1020
232,313,"Mountain",2,17,23-SEP-94,24-SEP-94,26-SEP-94,51512,37453,89097,"Bonded",4,"Patrick Haley","Roman",1350,46583,58.5,42.3,70.6,73,1358.35,1350,57.04,"MO",70,460.41,1020
233,409,"Mountain",8,20,16-MAR-94,18-MAR-94,20-MAR-94,89097,15293,87295,"TIG Welded",4,"Diane Hill","Script",999,29387,59.5,42.3,71,73,1723.42,1700,85,"NM",70,375.9,1534
234,367,"Mountain",9,16,15-JUL-94,18-JUL-94,22-JUL-94,29387,15293,15293,"Bonded",4,"Lester Francis","Roman",3980,0,57.1,42.3,70.5,73.1,1516.87,1500,90,"KY",70,646.91,1020
235,294,"Tour",7,58,20-FEB-94,22-FEB-94,26-FEB-94,15293,89097,87295,"TIG Welded",4,"Jahala Willis","Flash",4627,34192,56.6,41.5,73.5,73,1465.1,1450,90.63,"TX",70,356,1250
236,136,"Hybrid",12,19,25-JAN-94,26-JAN-94,02-FEB-94,87295,15293,12512,"TIG Welded",4,"Homer Oberhausen","Roman",1296,93736,56,43,70.5,73,1640.9,1625,97.5,"KY",70,278.829,1534
237,255,"Road",9,56,05-JUL-94,06-JUL-94,13-JUL-94,51512,15293,93736,"Bonded",4,"Allen Sparks","Block",2535,34192,55,41.5,73.5,73.5,2768.43,2750,178.75,"WA",70,765.325,2374
238,170,"Race",3,60,21-APR-94,23-APR-94,25-APR-94,15293,29387,15293,"TIG Welded",4,"Janice Mann","Roman",1512,37453,58,41.2,74,73,3322.01,3322.01,166.1,"IA",50,1165.6,2625
239,285,"Race",9,58,05-JUN-94,06-JUN-94,08-JUN-94,29387,51512,87295,"TIG Welded",4,"Kent Reasoner","Block",1632,29387,57,41.2,73.7,73,2457.17,2425,121.25,"WI",70,399.14,2374
240,109,"Hybrid",1,16,28-JUN-94,30-JUN-94,06-JUL-94,87295,89097,29387,"TIG Welded",4,"Jesus Carrow","Script",3965,89097,54.7,43,70.2,74,1700.13,1700,102,"TN",70,348.51,1534
241,235,"Mountain",2,21,03-APR-94,04-APR-94,09-APR-94,15293,29387,89097,"Bonded",4,"Virginia Hooper","English",4191,34192,59.8,42.4,71,73,1377.44,1350,0,"AR",70,482.866,1020
242,60,"Tour",4,56,10-FEB-94,11-FEB-94,19-FEB-94,29387,87295,15293,"Welded",4,"Peggy Baez","Roman",1215,34192,55.5,41.5,73,73,1399.14,1380,69,"AZ",70,278.4,1250
243,463,"Road",1,52,08-AUG-94,09-AUG-94,11-AUG-94,29387,15293,89097,"Bonded",4,"Vivian Osborne","Block",3077,90975,53,41.5,73,73.5,1614.36,1600,67.6,"MO",70,531.6,1250
244,457,"Road",2,47,27-NOV-94,28-NOV-94,02-DEC-94,15293,15293,12512,"Bonded",4,"Carl Ford","English",5570,87295,51.7,41.5,72.5,73.5,1647.46,1600,0,"MT",70,570.54,1250
245,344,"Hybrid",7,19,05-MAY-94,07-MAY-94,14-MAY-94,51512,89097,51512,"TIG Welded",4,"Phyllis Fuller","Roman",5570,87295,56,43,70.5,73,1224.61,1200,0,"MT",70,303.075,1020
246,492,"Mountain",9,17,11-NOV-94,11-NOV-94,18-NOV-94,15293,76432,87295,"TIG Welded",4,"Crystal Kidd","English",1,51512,58.5,42.3,70.6,73,1731.09,1700,85,"WI",70,384.928,1534
247,405,"Race",2,60,30-JUL-94,30-JUL-94,03-AUG-94,87295,51512,12512,"Bonded",4,"Clara Davidson","Script",5471,88873,58,41.2,74,73,2826.63,2800,168,"FL",70,582.8,2625
248,290,"Tour",10,56,23-MAR-94,25-MAR-94,31-MAR-94,51512,15293,15293,"Welded",4,"Kevin Daniel","Block",3602,12512,55.5,41.5,73,73,2567.89,2525,75.75,"CO",70,278.4,2625
249,346,"Tour",7,52,05-SEP-94,06-SEP-94,13-SEP-94,89097,29387,15293,"Bonded",4,"Hugh Hudson","Roman",2238,22343,53,41.5,72.5,75,2516.4,2500,100,"AL",70,468.825,2374
250,241,"Race",1,52,21-JUN-94,21-JUN-94,27-JUN-94,51512,89097,87295,"TIG Welded",4,"Beverly Zeller","Flash",6098,46583,52.7,40.7,72.5,75,1607.69,1600,96,"WV",70,332.75,1441
251,389,"Race",9,50,04-APR-94,05-APR-94,07-APR-94,51512,89097,87295,"TIG Welded",4,"Daisy Griffen","Block",639,46583,53.1,40.7,72,75,2452.33,2450,147,"TN",70,393.45,2374
252,265,"Race",9,56,06-MAY-94,07-MAY-94,12-MAY-94,29387,15293,12512,"TIG Welded",4,"Raquel Vincent","Script",2432,51512,56,41,73.7,73.5,1459.15,1425,85.5,"KY",70,349,1250
253,451,"Hybrid",11,19,05-MAR-94,07-MAR-94,11-MAR-94,87295,15293,12512,"TIG Welded",4,"Homer Hammer","English",2785,15293,56,43,70.5,73,1713.04,1700,0,"PA",70,363.69,1534
254,404,"Hybrid",12,17,31-OCT-94,02-NOV-94,06-NOV-94,87295,29387,29387,"TIG Welded",4,"Katy Haley","Roman",749,76432,55,43,70.5,74,1768.31,1720,86,"AZ",70,942.72,1020
255,40,"Race",6,54,18-JUL-94,19-JUL-94,22-JUL-94,87295,87295,89097,"Bonded",4,"Grayson Griffen","Flash",5411,37453,54.5,41,73,74,2713.41,2700,195.75,"CA",70,545.6,2529
256,408,"Mountain",7,19,05-MAR-94,07-MAR-94,09-MAR-94,15293,51512,12512,"Bonded",4,"Whitney Sanders","Script",769,46583,59.3,42.3,71,73,1911.62,1900,95,"AZ",70,597.315,1534
257,444,"Tour",3,52,24-SEP-94,26-SEP-94,28-SEP-94,89097,29387,87295,"TIG Welded",4,"Hoyt Baker","Block",5258,22343,53,41.5,72.5,75,1504.07,1500,75,"WI",70,401.85,1250
258,322,"Tour",2,60,09-NOV-94,11-NOV-94,15-NOV-94,15293,89097,51512,"TIG Welded",4,"Raquel Douglas","Block",3310,83736,57.5,41.5,74,73,2151.9,2151.9,107.6,"WI",50,1164,1250
259,528,"Mountain",12,18,07-MAY-94,09-MAY-94,11-MAY-94,15293,51512,51512,"TIG Welded",4,"Stan Harris","Roman",1447,12512,59.2,42.3,71,73,1226.91,1200,72,"KY",70,305.775,1020
260,147,"Race",11,62,16-AUG-94,18-AUG-94,22-AUG-94,15293,15293,12512,"TIG Welded",4,"Janet Collins","Block",1079,46583,59,41.2,74,72.5,3290.24,3260,0,"PA",70,1128.22,2625
261,333,"Tour",1,52,04-APR-94,05-APR-94,07-APR-94,87295,37453,87295,"TIG Welded",4,"Carl Neal","English",4656,88873,53,41.5,72.5,75,1586.72,1575,0,"OR",70,308.085,1441
262,487,"Mountain",3,14.5,16-JUN-94,17-JUN-94,22-JUN-94,15293,87295,87295,"TIG Welded",4,"Anita Glass","Block",3362,0,53.7,42.3,70.5,73.5,1690.56,1675,108.88,"MN",70,337.245,1534
263,288,"Tour",11,54,28-JUL-94,29-JUL-94,31-JUL-94,51512,15293,87295,"TIG Welded",4,"Glen Shelton","Roman",1327,29387,54,41.5,73,74,1487.01,1475,73.75,"AZ",70,381.78,1250
264,415,"Road",7,56,06-AUG-94,08-AUG-94,12-AUG-94,15293,76432,12512,"Bonded",4,"Chester Froedge","Block",2836,12512,55,41.5,73.5,73.5,2663.62,2650,0,"OR",70,487.025,2529
265,370,"Road",3,60,28-AUG-94,29-AUG-94,31-AUG-94,29387,29387,51512,"Welded",4,"Elaine Yates","Block",4175,63535,57,41.5,73.5,73.5,1409.85,1409.85,84.59,"KY",50,291,1250
266,81,"Race",10,60,13-JUL-94,14-JUL-94,20-JUL-94,51512,76432,87295,"Bonded",4,"Paul Clay","Script",2193,34192,58,41.2,74,73,2613.28,2600,104,"GA",70,582.8,2374
267,275,"Road",12,56,16-FEB-94,16-FEB-94,18-FEB-94,87295,76432,93736,"TIG Welded",4,"Vern Bell","Block",1,22343,55,41.5,73.5,73.5,1656.03,1625,65,"WY",70,389.62,1441
268,462,"Mountain",1,20,30-DEC-94,31-DEC-94,06-JAN-95,87295,29387,51512,"Bonded",4,"Taylor Griffen","Block",1,89097,59.5,42.3,71,73,1829.92,1800,117,"MN",70,501.2,1534
269,422,"Race",4,62,03-NOV-94,04-NOV-94,07-NOV-94,15293,15293,51512,"TIG Welded",4,"Stephen Middleton","Roman",3569,93736,59,41.2,74,72.5,3290.24,3250,203.13,"UT",70,1128.22,2625
1,1,"Road",6,52,12-JAN-94,13-JAN-94,20-JAN-94,15293,89097,12512,"TIG Welded",4,"Lisa Bronson","Script",3098,34192,53,41.5,73,73.5,2066.27,1333.33,0,"NE",70,398.7,1250
2,2,"Mountain",8,18.3,13-APR-94,15-APR-94,23-APR-94,87295,76432,12512,"TIG Welded",4,"Mark Strong","English",2492,39571,59.2,42.3,71,73,2196.48,1882.35,117.65,"UT",70,932.4516,1534
3,3,"Race",3,62,01-FEB-94,03-FEB-94,07-FEB-94,87295,15293,93736,"Bonded",4,"John Greenburg","Roman",1,34192,59,41.2,74,72.5,2835.98,2675.45,160.53,"CT",70,593.8,2625
4,4,"Race",1,56,13-JUL-94,13-JUL-94,15-JUL-94,51512,15293,51512,"Bonded",4,"Tommy Mathison","Block",1044,34192,56,41,73.75,73.5,1775.76,1700,0,"PA",70,530.48,1441
5,5,"Track",7,56,22-MAR-94,22-MAR-94,28-MAR-94,15293,87295,15293,"Bonded",4,"Tommy Smolens","Flash",1,34192,54.5,40.7,74.5,76,1800.68,1603.77,96.23,"NJ",80,559.8,1441
7,6,"Mountain",2,17,07-JAN-94,08-JAN-94,10-JAN-94,51512,89097,51512,"Welded",4,"Dutch Tellerman","English",5623,98766,58.5,42.3,70.6,73,1171.49,961.54,38.46,"WY",70,240.58,1020
8,7,"Mountain",5,17,06-MAY-94,09-MAY-94,12-MAY-94,29387,51512,89097,"Bonded",4,"David Moore","Block",246,98766,58.5,42.3,70.6,73,1761.76,1602.83,96.17,"TN",70,421.015,1534
9,8,"Hybrid",12,15,23-AUG-94,24-AUG-94,26-AUG-94,15293,51512,29387,"TIG Welded",4,"Mary Jones","Script",1,98766,54.5,43,70,74,1210.63,1129.41,70.59,"TX",70,286.625,1020
10,9,"Mountain",4,18,27-OCT-94,29-OCT-94,03-NOV-94,87295,51512,51512,"TIG Welded",4,"Bobby Carbaugh","Flash",4656,46583,59.2,42.3,71,73,1715.79,1650,0,"OR",70,366.93,1534
11,10,"Mountain",11,17,27-OCT-94,28-OCT-94,03-NOV-94,29387,89097,87295,"TIG Welded",4,"Bill DeMorgan","Roman",1,46583,58.5,42.3,70.6,73,1294.19,1250,0,"MT",70,384.928,1020
12,11,"Tour",6,55,21-MAY-94,23-MAY-94,25-MAY-94,29387,15293,12512,"Bonded",4,"Frank Sonoma","Flash",4028,34192,54.7,41.5,73,73.5,1793.2,1711.54,68.46,"GA",70,551,1441
13,12,"Mountain",10,16,12-DEC-94,13-DEC-94,17-DEC-94,15293,29387,87295,"Bonded",4,"Christine Donegal","Script",460,34192,57.1,42.3,70.5,73.1,1953.77,1792.45,107.55,"WV",70,646.91,1534
14,13,"Tour",3,55,07-DEC-94,08-DEC-94,15-DEC-94,51512,51512,12512,"Bonded",4,"Sazuri Tamura","English",5507,34192,54.7,41.5,73,73.5,2527.71,2285.71,114.29,"MA",70,482.125,2374
15,14,"Road",9,53,18-DEC-94,19-DEC-94,24-DEC-94,87295,15293,51512,"Bonded",4,"Seth Adamson","Block",1715,34192,54,41.5,73.2,73.5,1783.34,1627.69,112.31,"KS",70,539.4,1441
16,15,"Road",3,49,09-DEC-94,10-DEC-94,12-DEC-94,51512,87295,93736,"Bonded",4,"Glenda Tomlinson","English",3383,98766,52.6,41.5,72.8,73.5,2688.76,2429.91,121.5,"MI",70,516.6,2529
17,16,"Mountain",9,17,19-DEC-94,21-DEC-94,26-DEC-94,51512,87295,89097,"Bonded",4,"Tommy Ezzell","Flash",5656,98766,58.5,42.3,70.6,73,1745.69,1646.88,98.81,"TN",120,457.102,1479
18,17,"Hybrid",8,17,11-DEC-94,12-DEC-94,18-DEC-94,87295,89097,87295,"Welded",4,"James Lawless","Block",1285,98766,55,43,70.5,74,1184.33,952.38,47.62,"MI",70,235.68,1040
19,18,"Tour",3,57,20-NOV-94,22-NOV-94,29-NOV-94,51512,37453,12512,"Bonded",4,"Tabitha Anderson","Block",3312,98766,56,41.5,73.2,73,1598.13,1445.22,104.78,"CA",70,512.5,1250
