"CUSTOMERID","PHONE","FIRSTNAME","LASTNAME","ADDRESS","ZIPCODE","CITYID","BALANCEDUE"
636,"7170474532","Larry","Markham","7630 Sanders Ferry Road","17325",4640,0
637,"3142376794","Wilmer","Porter","268 Hidden Point Drive","63366",3109,0
638,"5028870837","Cecil","Lancaster","2959 Smith Road","42141",2101,0
639,"7027693574","Stephen","Adkins","1395 Halltown Road","89501",3788,0
640,"8019014420","Ricardo","Pitts","1517 Montgomery Drive","84321",5363,0
641,"6065545288","Earl","Howard","2516 Hot Springs Avenue","41073",2072,0
642,"6032460593","Harriet","Warden","5833 Oak Street","03031",3365,0
643,"7037477249","Herbert","Hatfield","6161 Small Street","22313",5402,0
644,"5070774669","Alice","Redford","440 Volunteer Drive","56007",2918,0.01
645,"9135054768","Rosie","Gibson","5862 Garden Street","66044",2043,-2326.83
646,"6125501961","Miranda","Stamps","5869 Johnson Drive","56301",3009,-0.03
647,"4129833160","Wanda","Zhang","4151 Lois Lane","15219",5899,0
648,"2148237780","Lenny","Weaver","6650 Dusty Lane","75260",5121,0
649,"7023397735","John","Lee","3557 Woodland Drive","89701",3774,0
650,"4050517439","Stella","McDonald","5315 Green Street","73069",4438,0
651,"8027293807","Larry","Jenkins","6614 Tulip Drive","05401",5549,0
652,"6063916252","Morris","Lack","4395 Hazelwood Drive","41075",2096,0
653,"8033086688","Rodney","Jones","6851 Center Street","29201",4887,0
654,"3139999530","Lena","Griffen","6422 Greenfield Lane","48106",5890,0
655,"8032331691","Wanda","Foster","6801 Green Acres Road","29401",5901,0
656,"7020302585","Gene","Morrison","4927 Elm Hill Circle","89114",5894,-2481.89
657,"7136604127","Dallas","Harper","8994 Woodland Drive","77013",5907,0
658,"6156420731","Katy","Fugate","2441 24th Street","37130",5024,-0.03
659,"7197469311","Elvis","Lehman","6961 Cemetery Road","80901",5870,-3446.06
660,"6069919280","Alvin","Newman","1495 Cemetery Road","40475",2137,0
661,"2036462553","Vivian","Hooks","3235 Chestnut Street","06268",941,0
662,"3012323544","Chelsea","Morris","4621 Poplar Ridge Road","20602",2663,0
663,"4075189167","Henry","Mitchell","345 College Street","32802",1230,-0.03
664,"8035228836","Ara","Reynolds","5349 Blackjack Road","29201",4887,0
665,"7035164465","Ella","Shaw","824 Reservoir Drive","22110",5521,0
666,"6060180468","Brian","Rice","6212 Humble Avenue","40422",2082,0
667,"3137983760","Ashley","Renfrow","7203 Buchanan Circle","48233",2775,0
668,"6068753753","Melanie","Hamilton","739 Railroad Avenue","42501",2144,0
669,"5025202363","Kristen","Carter","4012 Dorcas Drive","40216",5878,-0.03
670,"5022514004","Curtis","Williams","464 Poplar Ridge Road","40258",5882,0
671,"9198375589","Stephen","Green","2784 Cumberland Hills Drive","27514",3237,-0.03
672,"7153006532","Russell","Jackson","7916 Pepper Street","54701",5912,0
673,"6029078748","Doris","Dye","6049 Pleasant Ridge Road","85026",197,0
674,"9041796650","Thelma","Hill","7627 Edgewood Drive","32601",5871,-0.03
675,"6158857154","Paul","Hammer","7339 Executive Park Drive","37072",4993,0
676,"4090459672","Miranda","Hurt","2128 Rolling Acres Drive","77414",5069,0
